Order time,Net sales
19/03/2026,425.37
18/03/2026,528.49
17/03/2026,394.41
16/03/2026,486.51
15/03/2026,832.62
14/03/2026,868.65
13/03/2026,786.64
12/03/2026,484.59
11/03/2026,578.82
10/03/2026,650.61
09/03/2026,323.78
08/03/2026,932.68
07/03/2026,"1,128.75"
06/03/2026,834.63
05/03/2026,436.63
04/03/2026,565.5
03/03/2026,480.86
02/03/2026,370.5
01/03/2026,923.8
28/02/2026,"1,585.28"
27/02/2026,"1,114.61"
26/02/2026,509.25
25/02/2026,617.11
24/02/2026,432.27
23/02/2026,290.59
22/02/2026,930.07
21/02/2026,"1,333.08"
20/02/2026,"1,579.55"
19/02/2026,"1,217.48"
18/02/2026,"1,307.78"
17/02/2026,"1,056.55"
16/02/2026,719.55
15/02/2026,"1,239.20"
14/02/2026,"1,647.35"
13/02/2026,565.95
12/02/2026,842.52
11/02/2026,509.17
10/02/2026,624.33
09/02/2026,356.25
08/02/2026,"1,377.94"
07/02/2026,"2,000.35"
06/02/2026,791.36
05/02/2026,391.74
04/02/2026,170.49
03/02/2026,150.66
02/02/2026,341.39
01/02/2026,770.81
31/01/2026,"1,016.31"
30/01/2026,334.7
29/01/2026,386.41
28/01/2026,379.66
27/01/2026,321.9
26/01/2026,195.65
25/01/2026,605
24/01/2026,"1,498.96"
23/01/2026,655.29
22/01/2026,237.13
21/01/2026,300.73
20/01/2026,142.98
19/01/2026,205.03
18/01/2026,908.38
17/01/2026,"1,467.88"
16/01/2026,562.94
15/01/2026,449.99
14/01/2026,371.12
13/01/2026,414.66
12/01/2026,281.6
11/01/2026,687.37
10/01/2026,"1,028.11"
09/01/2026,528.77
08/01/2026,317.47
07/01/2026,102.3
06/01/2026,95.47
05/01/2026,115.37
04/01/2026,403.86
03/01/2026,588.53
02/01/2026,"1,225.89"
01/01/2026,561.05
31/12/2025,682.81
30/12/2025,"1,166.60"
29/12/2025,722.61
28/12/2025,813.06
27/12/2025,524.73
26/12/2025,135.62
25/12/2025,
24/12/2025,375.36
23/12/2025,255.53
22/12/2025,397.57
21/12/2025,549.9
20/12/2025,492.71
19/12/2025,355.95
18/12/2025,301.49
17/12/2025,351.34
16/12/2025,389.54
15/12/2025,171.57
14/12/2025,541.08
13/12/2025,581.25
12/12/2025,257.24
11/12/2025,244.3
10/12/2025,160.81
09/12/2025,197.26
08/12/2025,217.42
07/12/2025,439.64
06/12/2025,464.11
05/12/2025,278.13
04/12/2025,406.3
03/12/2025,201.59
02/12/2025,160.81
01/12/2025,123.04
30/11/2025,308.2
29/11/2025,495.77
28/11/2025,720.65
27/11/2025,161.6
26/11/2025,262.36
25/11/2025,287.23
24/11/2025,172
23/11/2025,488.83
22/11/2025,703.15
21/11/2025,428.23
20/11/2025,214.92
19/11/2025,337.31
18/11/2025,325.15
17/11/2025,293.4
16/11/2025,718.79
15/11/2025,971.99
14/11/2025,440.32
13/11/2025,214.85
12/11/2025,180.11
11/11/2025,202.8
